SNR,RMS
1.5,0.08302769979178809
1.464102564102564,0.08289071165516643
1.4282051282051282,0.08588036227828601
1.3923076923076922,0.08683561987886629
1.3564102564102565,0.08861016884108915
1.3205128205128205,0.09231014448536287
1.2846153846153847,0.09544304356391918
1.2487179487179487,0.09831262703045372
1.212820512820513,0.10147104898865592
1.176923076923077,0.10270239194629009
1.141025641025641,0.10708131736268935
1.1051282051282052,0.11145567218931429
1.0692307692307692,0.11510514198550628
1.0333333333333334,0.11933415032736988
0.9974358974358974,0.12300162516580598
0.9615384615384616,0.12423692251307411
0.9256410256410257,0.12882396961247447
0.8897435897435898,0.1381386799432877
0.8538461538461539,0.14213495426602113
0.817948717948718,0.15023693273470676
0.7820512820512822,0.15440448840555557
0.7461538461538462,0.1617344225080398
0.7102564102564103,0.17224008620253922
0.6743589743589744,0.18026404737893834
0.6384615384615385,0.19402724843764874
0.6025641025641026,0.2017493959100322
0.5666666666666668,0.22028255422557325
0.5307692307692309,0.2341270353272896
0.4948717948717949,0.25243753575636135
0.4589743589743591,0.269037110406249
0.42307692307692313,0.2958901562748955
0.38717948717948736,0.32185046432065856
0.35128205128205137,0.35392833896257214
0.3153846153846154,0.40362858978313154
0.2794871794871796,0.45095845339561696
0.2435897435897436,0.509592516565169
0.20769230769230784,0.6030434336284844
0.17179487179487185,0.7368227368878943
0.13589743589743608,0.9272424378321361
0.1,1.243728843684474
